SN	V0SiII	e_V0SiII
2007bd	-12.49	0.23
2007bm	-10.60	0.22
2007ca	-11.02	0.2
2007cg	-13.89	0.24
2007ci	-11.83	0.2
2007co	-12.02	0.23
2007cq	-10.52	0.23
2007fb	-11.76	0.2
2007fs	-10.61	0.3
2007hj	-12.18	0.2
2007kk	-12.07	0.2
2007le	-13.31	0.23
2007sr	-12.89	0.3
2007qe	-14.38	0.23
2007ux	-10.98	0.2
2008C 	-11.25	0.2
2008L 	-12.22	0.23
2008Q 	-11.54	0.22
2008Z 	-11.36	0.2
2008af	-12.44	0.23
2008ar	-10.59	0.22
2008bf	-11.59	0.24
2008dt	-14.30	0.3
