#SN              v_siII              v_siII_err
2006cz           11543.1             226.011
2006d            10903.0             223.63
2006ef           12153.9             300.0
2006ej           11889.5             281.461
2006em           9449.48             223.386
2006en           10380.9             300.0
2006et           9508.19             263.6
2006eu           11382.300000000001  257.5
2006ev           11444.599999999999  326.281
2006gj           11338.4             248.24599999999998
2006gr           11847.699999999999  321.915
2006h            10643.5             223.63
2006hb           11153.2             223.14600000000002
2006je           10129.8             260.233
2006kf           11436.0             259.681
2006le           11751.699999999999  229.369
2006lf           11321.1             234.702
2006mo           10988.4             242.17600000000002
2006mp           7817.96             253.44400000000002
2006n            11322.800000000001  226.297
2006nz           14124.3             222.453
2006oa           9267.11             234.702
2006ob           11194.4             231.873
2006os           12678.599999999999  300.0
2006ot           14158.099999999999  616.5880000000001
2006py           11566.599999999999  233.703
2006s            10863.4             240.41899999999998
2006sr           12385.8             232.108
2006td           10812.6             300.0
2006x            15969.300000000001  222.453
2007a            10885.300000000001  272.346
2007ae           10847.5             241.732
2007af           10990.1             222.453
2007ai           9552.35             235.40900000000002
2007al           9466.570000000002   228.723
2007ap           11156.5             222.453
2007as           12665.4             282.557
2007au           10971.8             289.567
2007ax           9846.48             243.529
2007bc           10485.5             260.788
2007bd           12493.0             233.19799999999998
2007bm           10600.199999999999  222.453
2007ca           11022.199999999999  222.453
2007cg           13890.599999999999  237.88500000000002
2007ci           11829.7             238.716
2007co           12024.699999999999  231.05200000000002
2007cq           10524.2             231.4
2007f            11076.5             236.26500000000001
2007fb           11755.599999999999  249.227
2007fs           10612.0             394.823
2007hj           12179.1             223.878
2007hu           13447.0             224.655
2007is           11725.300000000001  388.27099999999996
2007jg           13390.1             295.83799999999997
2007jh           10869.400000000001  235.85
2007kk           12070.7             222.453
2007le           13305.1             226.586
2007nq           11806.4             237.119
2007o            9956.279999999999   300.0
2007ob           12248.900000000001  413.67900000000003
2007qe           14381.199999999999  232.46800000000002
2007s            10034.1             222.453
2007sr           12893.0             300.0
2007su           11853.300000000001  222.721
2007sw           13887.5             296.64099999999996
2007ux           10985.0             222.453
2008af           12439.4             232.46800000000002
2008ar           10592.3             222.453
2008at           10206.699999999999  550.5139999999999
2008bc           11675.9             220.59699999999998
2008bf           11586.800000000001  235.088
2008bq           10445.0             226.11100000000002
2008bz           10989.2             282.346
2008c            10638.199999999999  251.57600000000002
2008cf           10805.7             220.44
2008dt           14299.099999999999  300.0
2008fr           13705.0             338.463
2008gl           11835.4             227.898
2008hj           11690.8             331.765
2008hv           10486.3             237.293
2008ia           11602.5             230.958
2008l            12224.9             226.586
2008q            11537.1             222.453
2008r            10299.2             260.815
2008y            11449.6             269.385
2008z            11363.9             237.475
2009ad           10460.4             233.822
2009ig           13500.0
2009y            14572.0             223.105
2010a            10028.9             229.363
2011by           10300.0
2011fe           10400.0
2011iv           10400.0
2012cg           11000.0
2013dy           10400.0
2014j            11900.0
2015f            10300.0
asassn-14lp      11100.0
snf20080514-002  15508.0             221.441
