SN,Source
2008bf,csp
2008bc,csp
2011fe,foley_hst
2011fe,other
2011fe,swift_uv
2002bf,bsnip
2002bf,cfa
2002bo,bsnip
2002bo,cfa
2002bo,other
1997dt,cfa
1997do,bsnip
1997do,cfa
2013dy,foley_hst
2006lf,bsnip
2006lf,cfa
2006le,bsnip
2006le,cfa
2006py,csp
2011iv,swift_uv
1992a,uv
1981b,uv
2001gc,bsnip
2001gc,cfa
2005ki,bsnip
2005ki,cfa
2005ki,csp
2006os,bsnip
2006os,csp
2006ot,bsnip
2006ot,cfa
2006ot,csp
2006ob,csp
2006oa,cfa
2006oa,other
1991t,bsnip
1991t,uv
2008ar,bsnip
2008ar,cfa
2008ar,csp
2008at,cfa
2008af,bsnip
2008af,cfa
2003kf,bsnip
2003kf,cfa
2006mo,bsnip
2006mo,cfa
2006ax,bsnip
2006ax,cfa
2006ax,csp
2006az,bsnip
2006az,cfa
2006ak,bsnip
2006ak,cfa
2006al,cfa
2006ac,bsnip
2006ac,cfa
2005kc,bsnip
2005kc,cfa
2005kc,csp
2005ke,bsnip
2005ke,cfa
2005ke,csp
1997cn,bsnip
1997cn,cfa
2008y,cfa
2008z,bsnip
2008z,cfa
2008q,bsnip
2008q,cfa
2008r,cfa
2008r,csp
2008l,bsnip
2008l,cfa
2008c,bsnip
2008c,cfa
2008c,csp
2015f,foley_hst
2006sr,bsnip
2006sr,cfa
2003fa,bsnip
2003fa,cfa
2007bd,bsnip
2007bd,cfa
2007bd,csp
2007bc,bsnip
2007bc,cfa
2007bc,csp
1997br,bsnip
1997br,cfa
1997bq,cfa
1997bp,bsnip
1997bp,cfa
2005lu,bsnip
2005lu,cfa
2005lu,csp
2005lz,bsnip
2005lz,cfa
1998dx,bsnip
1998dx,cfa
1998de,bsnip
1998de,cfa
1998dm,bsnip
1998dm,cfa
1998dh,bsnip
1998dh,cfa
2006nz,cfa
2006nz,other
2004bg,bsnip
2004bg,cfa
2004bk,bsnip
2004bk,cfa
1990o,bsnip
1990n,bsnip
1990n,uv
2007ux,bsnip
2007ux,cfa
2007ux,csp
2001az,bsnip
2001az,cfa
2001ay,bsnip
2001ay,cfa
2001ay,uv
2006bw,bsnip
2006bw,cfa
2007co,bsnip
2007co,cfa
2007ci,bsnip
2007ci,cfa
2007cg,bsnip
2007cg,cfa
2007ca,bsnip
2007ca,cfa
2007ca,csp
2007cq,bsnip
2007cq,cfa
2002cs,bsnip
2002cs,cfa
2006cz,bsnip
2006cz,cfa
2006cp,bsnip
2006cp,cfa
2006cq,bsnip
2006cq,cfa
2006cm,bsnip
2006cm,cfa
2006cj,bsnip
2006cj,cfa
2006cf,bsnip
2006cf,cfa
2005mc,bsnip
2005mc,cfa
1998ec,bsnip
1998ec,cfa
1998eg,bsnip
1998eg,cfa
1998ef,bsnip
1998ef,cfa
2005ms,bsnip
1998es,bsnip
1998es,cfa
1998bu,bsnip
1998bu,cfa
1998bu,other
2004at,cfa
2004as,bsnip
2004as,cfa
1999aa,bsnip
1999aa,cfa
1999ac,bsnip
1999ac,cfa
2000cw,bsnip
2000cw,cfa
1991m,bsnip
2003du,bsnip
2003du,cfa
2003du,other
2002hw,bsnip
2002hw,cfa
2002hu,bsnip
2002hu,cfa
2002he,bsnip
2002he,cfa
2002hd,bsnip
2002hd,cfa
2002ha,bsnip
2002ha,cfa
2000cn,bsnip
2000cn,cfa
2001ba,bsnip
2001ba,uv
2001bf,bsnip
2001bf,cfa
2001bg,bsnip
2001bg,cfa
2001br,bsnip
2001br,cfa
2006bq,bsnip
2006bq,cfa
2006br,bsnip
2006br,cfa
2006br,csp
2006bt,bsnip
2006bt,cfa
2006bz,bsnip
2006bz,cfa
2006bh,csp
2007nq,cfa
2007nq,csp
2005na,bsnip
2005na,cfa
2005na,csp
1998bp,bsnip
1998bp,cfa
2007f,bsnip
2007f,cfa
