# v_siII km/s
# v_siII_err km/s or flag
SN                  source    v_siII  v_siII_err
2005ki         Folatelli13   9811.00      92.000
2005ku         Folatelli13  12215.00     697.000
2005na         Folatelli13  10763.00      62.000
2006d          Folatelli13  10867.00      27.000
2006ax         Folatelli13  10170.00      78.000
2006et         Folatelli13  10123.00     223.000
2006fw         Folatelli13  10819.00     358.000
2006is         Folatelli13  14122.00     218.000
2007a          Folatelli13  10990.00      41.000
2007bm         Folatelli13  10817.00     440.000
2007ca         Folatelli13  11085.00     181.000
2008ar         Folatelli13  10471.00      54.000
2008bc         Folatelli13  11547.00      79.000
2008bf         Folatelli13  11491.00     103.000
2008bq         Folatelli13  10786.00     219.000
2008fp         Folatelli13  10986.00      37.000
2008hv         Folatelli13  10926.00      56.000
2009d          Folatelli13  10243.00      57.000
2009aa         Folatelli13  10546.00      28.000
2009ab         Folatelli13  10563.00      22.000
2004eo         Folatelli13  10352.00     119.000
2004gs         Folatelli13  11483.00      90.000
2005bl         Folatelli13   9930.00      86.000
2005ke         Folatelli13   9811.00      92.000
2006bd         Folatelli13  11207.00     368.000
2006eq         Folatelli13  11742.00     586.000
2006gj         Folatelli13  11256.00     107.000
2006gt         Folatelli13  10394.00     114.000
2006kf         Folatelli13  11432.00      72.000
2006mr         Folatelli13  10213.00      82.000
2006os         Folatelli13  11911.00     620.000
2007n          Folatelli13  11213.00     347.000
2007al         Folatelli13   9850.00     144.000
2007ax         Folatelli13   9773.00     206.000
2007ba         Folatelli13  10612.00     212.000
2007bc         Folatelli13  10382.00      33.000
2007hj         Folatelli13  12297.00      43.000
2007on         Folatelli13  11242.00      28.000
2007ux         Folatelli13  10743.00     318.000
2008r          Folatelli13  10922.00     245.000
2009f          Folatelli13  11004.00      53.000
2004dt         Folatelli13  14799.00      96.000
2004ef         Folatelli13  12039.00     133.000
2005a          Folatelli13  14976.00     279.000
2005w          Folatelli13  10867.00     468.000
2005ag         Folatelli13  11558.00     370.000
2005am         Folatelli13  12157.00      70.000
2006x          Folatelli13  16232.00      42.000
2006br         Folatelli13  14174.00     442.000
2006ef         Folatelli13  12375.00     611.000
2006ej         Folatelli13  12249.00     373.000
2006ot         Folatelli13  13898.00     881.000
2007af         Folatelli13  10918.00      24.000
2007as         Folatelli13  12962.00     621.000
2007bd         Folatelli13  12547.00      95.000
2007jg         Folatelli13  12615.00     394.000
2007le         Folatelli13  12539.00      27.000
2007nq         Folatelli13  12111.00     289.000
2008gl         Folatelli13  11989.00     525.000
2008hu         Folatelli13  12343.00     671.000
2008ia         Folatelli13  11182.00      45.000
2009y          Folatelli13  14876.00      48.000
2009ag         Folatelli13  10261.00     183.000
2004gu         Folatelli13  10631.00     302.000
2005m          Folatelli13   8761.00     181.000
2005bg         Folatelli13  10793.00     283.000
2005eq         Folatelli13  10097.00     110.000
2005hj         Folatelli13  10538.00      52.000
2006hx         Folatelli13  10593.00     393.000
2007s          Folatelli13  10031.00      56.000
2007ai         Folatelli13   9980.00     109.000
2008c          Folatelli13  10526.00     597.000
2009ad         Folatelli13  10394.00      22.000
1981b              Foley11  11870.00     220.000
1986g              Foley11  10480.00     200.000
1989b              Foley11  10560.00     220.000
1990n              Foley11   9380.00     220.000
1990o              Foley11  11990.00     200.000
1991m              Foley11  12810.00     200.000
1991t              Foley11   9620.00     200.000
1991bg             Foley11  10040.00     200.000
1992a              Foley11  14040.00     220.000
1992ag             Foley11  11740.00     300.000
1992al             Foley11  11260.00     300.000
1993ac             Foley11  13210.00     220.000
1994d              Foley11  11240.00     240.000
1994m              Foley11  12360.00     270.000
1994s              Foley11  10720.00     240.000
1994t              Foley11  13430.00     300.000
1994ae             Foley11  10980.00     230.000
1995d              Foley11  10330.00     200.000
1995e              Foley11  11160.00     240.000
1995al             Foley11  13010.00     200.000
1996c              Foley11  10690.00     200.000
1996x              Foley11  11170.00     220.000
1996z              Foley11  12140.00     230.000
1996ai             Foley11  10820.00     200.000
1996bk             Foley11  12160.00     200.000
1996bl             Foley11  12340.00     240.000
1996bo             Foley11  12250.00     240.000
1997e              Foley11  12010.00     230.000
1997y              Foley11  11030.00     220.000
1997bp             Foley11  15620.00     200.000
1997bq             Foley11  14240.00     230.000
1997br             Foley11  11600.00     220.000
1997cn             Foley11   9610.00     200.000
1997do             Foley11  13380.00     200.000
1997dt             Foley11  11330.00     220.000
1998v              Foley11  10850.00     220.000
1998ab             Foley11   9330.00     200.000
1998aq             Foley11  10800.00     230.000
1998bp             Foley11  11010.00     200.000
1998bu             Foley11  10910.00     230.000
1998co             Foley11  11100.00     200.000
1998de             Foley11  11300.00     200.000
1998dh             Foley11  12040.00     220.000
1998dm             Foley11  11070.00     200.000
1998dx             Foley11  11800.00     390.000
1998ec             Foley11  12410.00     240.000
1998ef             Foley11  13260.00     220.000
1998eg             Foley11  10810.00     240.000
1998es             Foley11  10200.00     200.000
1999aa             Foley11  10440.00     200.000
1999ac             Foley11   9930.00     220.000
1999ao             Foley11  11910.00     200.000
1999av             Foley11  11170.00     200.000
1999aw             Foley11  11740.00     200.000
1999bk             Foley11  10350.00     200.000
1999bp             Foley11  10920.00     200.000
1999by             Foley11  10100.00     200.000
1999cc             Foley11  12030.00     240.000
1999cl             Foley11  12470.00     250.000
1999da             Foley11  10830.00     200.000
1999dq             Foley11  10710.00     200.000
1999ee             Foley11  10010.00     200.000
1999ej             Foley11  10660.00     200.000
1999ek             Foley11  10750.00     260.000
1999gd             Foley11  10780.00     250.000
1999gh             Foley11  12020.00     200.000
1999gp             Foley11  11330.00     200.000
2000b              Foley11  15040.00     200.000
2000e              Foley11  10830.00     220.000
2000ca             Foley11  10810.00     300.000
2000ce             Foley11  11360.00     200.000
2000cf             Foley11   9950.00     240.000
2000cn             Foley11  12230.00     200.000
2000cp             Foley11  11730.00     290.000
2000cu             Foley11  11580.00     200.000
2000cw             Foley11  10560.00     240.000
2000dg             Foley11  10810.00     200.000
2000dk             Foley11  11100.00     200.000
2000dm             Foley11  11270.00     200.000
2000dn             Foley11  10210.00     230.000
2000fa             Foley11  11820.00     200.000
2001e              Foley11  14510.00     220.000
2001g              Foley11  11840.00     200.000
2001n              Foley11  14060.00     200.000
2001v              Foley11  11200.00     200.000
2001ay             Foley11  14780.00     200.000
2001az             Foley11  11460.00     220.000
2001ba             Foley11  10630.00     300.000
2001bf             Foley11  10530.00     200.000
2001bg             Foley11  12520.00     220.000
2001br             Foley11  13450.00     240.000
2001cj             Foley11  10370.00     300.000
2001ck             Foley11  11270.00     260.000
2001cp             Foley11  10880.00     200.000
2001da             Foley11  11530.00     220.000
2001dl             Foley11   9930.00     300.000
2001eh             Foley11  10700.00     200.000
2001el             Foley11  11650.00     220.000
2001en             Foley11  13320.00     220.000
2001ep             Foley11  10800.00     230.000
2001ex             Foley11   9880.00     300.000
2001fe             Foley11  11150.00     220.000
2001fh             Foley11  10920.00     200.000
2001gc             Foley11  15010.00     200.000
2002g              Foley11  11840.00     260.000
2002aw             Foley11  10850.00     240.000
2002bf             Foley11  15520.00     220.000
2002bo             Foley11  13110.00     220.000
2002cd             Foley11  15280.00     200.000
2002cf             Foley11  11360.00     300.000
2002ck             Foley11  10290.00     270.000
2002cr             Foley11  10050.00     230.000
2002cs             Foley11  14030.00     240.000
2002cu             Foley11  12500.00     230.000
2002de             Foley11  11440.00     250.000
2002dj             Foley11  13690.00     220.000
2002do             Foley11  11290.00     200.000
2002dp             Foley11  11090.00     230.000
2002ef             Foley11  11530.00     230.000
2002er             Foley11  11910.00     220.000
2002eu             Foley11  11520.00     240.000
2002fb             Foley11  10920.00     200.000
2002fk             Foley11  10010.00     240.000
2002ha             Foley11  11290.00     240.000
2002hd             Foley11  11330.00     250.000
2002he             Foley11  12620.00     220.000
2002hu             Foley11   9880.00     280.000
2002hw             Foley11  10670.00     320.000
2002jg             Foley11  11550.00     300.000
2002jy             Foley11  10950.00     200.000
2002kf             Foley11  11910.00     220.000
2003u              Foley11  11310.00     250.000
2003w              Foley11  14680.00     220.000
2003y              Foley11  10700.00     200.000
2003cg             Foley11  11360.00     230.000
2003ch             Foley11  10970.00     340.000
2003cq             Foley11  11670.00     440.000
