# v_siII km/s
# v_siII_err km/s or flag
SN                  source    v_siII  v_siII_err
2008cf             kaepora  10805.70     220.440
2005ir             kaepora  13521.50     300.000
2005iq             kaepora  10889.60     370.379
2012cg             kaepora  11000.00         NaN
1986g              kaepora  10479.80     222.453
2007bm             kaepora  10600.20     222.453
2001fh             kaepora  10918.30     252.755
2001fe             kaepora  11147.50     222.453
2008bz             kaepora  10989.20     282.346
2008bq             kaepora  10445.00     226.111
2008bf             kaepora  11586.80     235.088
2008bc             kaepora  11675.90     220.597
2011fe             kaepora  10400.00         NaN
2002bf             kaepora  15516.10     222.679
2002bo             kaepora  13114.20     222.453
1997dt             kaepora  11330.00     222.453
1997do             kaepora  13379.90     251.225
2013dy             kaepora  10400.00         NaN
2006lf             kaepora  11321.10     234.702
2006le             kaepora  11751.70     229.369
2014j              kaepora  11900.00         NaN
2006py             kaepora  11566.60     233.703
2011iv             kaepora  10400.00         NaN
1992p              kaepora  10406.30     300.000
1992a              kaepora  14039.80     222.453
1981b              kaepora  11868.50     224.386
2001gc             kaepora  15005.20     233.568
2005ki             kaepora  11283.80     254.311
2006os             kaepora  12678.60     300.000
2006ot             kaepora  14158.10     616.588
2006ob             kaepora  11194.40     231.873
2006oa             kaepora   9267.11     234.702
1991t              kaepora   9623.59     223.878
2008ar             kaepora  10592.30     222.453
2008at             kaepora  10206.70     550.514
2008af             kaepora  12439.40     232.468
2003kf             kaepora  11264.60     222.453
2006mo             kaepora  10988.40     242.176
2006ax             kaepora  10255.40     230.708
2006az             kaepora  10715.50     258.041
2006ak             kaepora  11963.00     222.453
2006al             kaepora  11060.50     265.897
2006ac             kaepora  13854.30     222.453
2005kc             kaepora  10630.60     230.031
2005ke             kaepora   9658.88     237.885
1997cn             kaepora   9607.58     222.453
2008y              kaepora  11449.60     269.385
2008z              kaepora  11363.90     237.475
2008q              kaepora  11537.10     222.453
2008r              kaepora  10299.20     260.815
2008l              kaepora  12224.90     226.586
2008c              kaepora  10638.20     251.576
2015f              kaepora  10300.00         NaN
2006sr             kaepora  12385.80     232.108
1993h              kaepora  10145.70     300.000
2003fa             kaepora  10184.80     222.453
2007bd             kaepora  12493.00     233.198
2007bc             kaepora  10485.50     260.788
1997br             kaepora  11599.80     222.453
1997bq             kaepora  14241.00     234.321
1997bp             kaepora  15623.40     222.453
2005lu             kaepora  12660.20     226.586
2005lz             kaepora  10358.20     232.875
1998dx             kaepora  11803.30     387.332
1998de             kaepora  11302.90     242.176
1998dm             kaepora  11069.60     222.453
1998dh             kaepora  12037.00     223.146
2006nz             kaepora  14124.30     222.453
2004bg             kaepora  10279.60     226.011
2004bk             kaepora  12571.70     225.453
1999bp             kaepora  10924.50     222.453
1992bh             kaepora  12094.40     300.000
1990o              kaepora  11987.70     222.453
1990n              kaepora   9376.94     222.453
1992bc             kaepora  11848.70     300.000
2007ux             kaepora  10985.00     222.453
2001az             kaepora  11455.10     222.453
2001ay             kaepora  14775.50     277.959
2006bw             kaepora  11413.10     258.041
2007co             kaepora  12024.70     231.052
2007ci             kaepora  11829.70     238.716
2007cg             kaepora  13890.60     237.885
2007ca             kaepora  11022.20     222.453
2007cq             kaepora  10524.20     231.400
2002cs             kaepora  14033.00     235.869
2006cz             kaepora  11543.10     226.011
2006cp             kaepora  13477.00     243.074
2006cq             kaepora  10383.10     256.961
2006cm             kaepora  11460.80     222.453
2006cj             kaepora  11028.10     222.453
2006cf             kaepora  10613.30     237.068
2005mc             kaepora  12122.70     252.755
1998ec             kaepora  12413.20     237.068
1998eg             kaepora  10811.30     243.074
1998ef             kaepora  13262.00     223.630
2005ms             kaepora  11717.00     284.426
1998es             kaepora  10198.40     222.453
1998bu             kaepora  10905.50     231.400
2004at             kaepora  10759.90     222.453
2004as             kaepora  11835.40     248.246
1999aw             kaepora  11741.10     222.453
1999ao             kaepora  11914.70     222.453
1999aa             kaepora  10441.20     228.092
1999ac             kaepora   9934.07     222.453
2000cw             kaepora  10561.60     243.074
1991m              kaepora  12805.30     222.453
2003du             kaepora  10513.30     222.453
2000ca             kaepora  10809.40     300.000
2002hw             kaepora  10672.50     322.655
2002hu             kaepora   9875.07     276.091
2002he             kaepora  12618.10     222.453
2002hd             kaepora  11327.60     253.271
2002ha             kaepora  11287.30     235.476
2000cn             kaepora  12233.90     276.091
2001ba             kaepora  10632.70     300.000
2001bf             kaepora  10527.10     223.878
2001bg             kaepora  12520.80     224.647
2001br             kaepora  13450.00     237.475
2006bq             kaepora  14553.50     240.853
2006br             kaepora  13999.40     238.716
2006bt             kaepora  11499.20     281.754
2006bz             kaepora  10426.50     419.364
2006bh             kaepora  11590.20     324.843
2007nq             kaepora  11806.40     237.119
2005na             kaepora  10737.70     229.698
1998bp             kaepora  11010.40     226.879
2007f              kaepora  11076.50     236.265
1992bo             kaepora  10519.90     300.000
